subtype_id,subtype
1,DUNI
2,CSED
3,AOBR
4,CPHP
5,TRPA
6,FLST
7,CHB
8,TPG
9,TTEL
10,SOS
11,EHHK
12,NSP
13,LIN
14,LCRR
15,VCCL
16,PPBN
17,CHEP
18,MEC
19,GEN.1.1.1
20,GPC
21,TLCR
22,FDH
23,JIB
24,PPSD
25,HPG
26,BCAR
27,DRPE
28,IWR
29,LNYD
30,FTRA
31,CMLN
32,ICE
33,LCC
34,PBS
35,TLT
36,AIRC
37,SSRT
38,SWTS
39,PFAN
40,DBC
41,WNCH
42,CBA
43,CHSW
44,PIPT
45,TRFU
46,GRAG
47,CRIM
48,T
49,AB
50,ACPB
51,VBSF
52,APS
53,STGR
54,WHBR
55,SAWM
56,PC
57,RMTP
58,VALV
59,SBF
60,VMH
61,RTP
62,WDPP
63,WBC
64,URN
65,CWB
66,SGUN
67,MSB
68,TRTA
69,TRO
70,VSL
71,IMWR
72,HSJS
73,GRNB
74,DU
75,CMPR
76,DMFR
77,SPL
78,CDS
79,TRPN
80,CDVP
81,CONE
82,HH.1
83,NRU
84,YDS
85,FTZR
86,SAWR
87,DAVT
88,TRTI
89,CFSM
90,SMSC
91,DLV
92,FAR
93,BLO
94,EA
95,EMV
96,NBL.1
97,SPIT.1
98,FBRO
99,GPL
100,HTQ
101,SAFL
102,MER
103,CUTR
104,MQPH
105,ABR
106,SBM
107,EXTL
108,CUT
109,CHV
110,ARR
111,FKT
112,EXFA
113,SSS
114,FWP
115,TPB
116,RSSD
117,FLPS
118,BA
119,FLO
120,CBKE
121,GDE
122,E.1
123,ATK
124,RDSY
125,MILD
126,WAAG
127,RFG
128,CNBF
129,EVBR
130,GSE
131,CSL
132,GLL
133,LDHR
134,UTE
135,ARW
136,SWMC
137,GEN.1
138,SDCV
139,RFRC
140,TLJP
141,RSAW
142,HYPT
143,PRK
144,HYPK
145,MLTR
146,PBE
147,PHH
148,UPC
149,ABL
150,RCS
151,EB
152,HTGN
153,SPIT
154,GNDR
155,DSSW
156,ITC
157,DRLH
158,TREQ
159,FLTR
160,TRNC
161,MLAG
162,CNKB
163,CPKK
164,MSCT
165,GL7
166,CBW
167,GPAC
168,IRFA
169,KBB
170,HMLT
171,SFTY
172,MAN
173,TBU
174,DRLR
175,SCBR
176,VM 
177,ILPG
178,RP
179,SBL
180,DRMB
181,WRFE
182,RRC
183,TQW
184,DRLS
185,SDRP
186,BBQ
187,HST
188,TRO.1
189,CBC
190,PSTB
191,WBRS
192,CGBC
193,SA
194,HCPC
195,WBHD
196,PUSL
197,RCD
198,RPSD
199,CTM
200,WPS
201,RAB
202,ALB
203,STBK
204,PHD
205,SBG
206,SAW.1
207,TRYJ
208,MNFD
209,DBP
210,VBSX
211,LBLW
212,LRLR
213,SWU
214,MLRH
215,CSG
216,CMXR
217,ELCB
218,WARM
219,NGA
220,TW
221,STSD
222,LNMK
223,ELG
224,WTRT
225,GP28
226,FGF
227,HYWC
228,SSPF
229,TRWC
230,LMRK
231,EF
232,DBL
233,SPG
234,CLR.1
235,AOCH
236,EH
237,STRP
238,CCY
239,PSF
240,VPC
241,WDMA
242,RCBC
243,VSU
244,PULG
245,SNDR
246,SL.1
247,VSPP
248,GEN
249,GSB
250,VCWD
251,VTP
252,ABO
253,GSP
254,HDGE
255,LSSL
256,CHSL
257,WHBT
258,CMPT
259,CPS
260,SSRG
261,RSU
262,BH
263,DRIS
264,WC
265,CAPS
266,SSPB
267,TM
268,FFI
269,SDRD
270,LVL
271,PLA
272,XIP
273,GP30
274,TLI
275,SNDC
276,ITC.1
277,VCCB
278,SBIN
279,ESC
280,RTRT
281,PTHT
282,EBS
283,SBOX
284,STLK
285,LGSP
286,HV3
287,ENGH
288,MEB
289,FLCL
290,GEN.1.1
291,SLSM
292,TRNS
293,MEG
294,PPCT
295,EG
296,EVB
297,MLPD
298,STPG
299,BKSC
300,WLCS
301,CHS
302,CPH
303,SPD
304,JWH
305,TJB
306,TRCR
307,CNCS
308,CMPR.1.1
309,CDTR
310,DG7
311,GRDT
312,PFFT
313,ER
314,FST
315,NGS
316,HCPU
317,HJAW
318,VBHF
319,SAWT
320,FL
321,MLK9
322,WRCN
323,MLTC
324,FRCS
325,PLTT
326,PUSU
327,SSC
328,HYDM
329,OXYS
330,E.1.1
331,DSAW.1
332,TEL
333,SF
334,SST.1
335,SWR
336,SBB
337,MPT
338,TAL
339,CVNU
340,SSL
341,SRCP
342,WEOV
343,SNDB
344,GRDS
345,VBFX
346,CSK
347,HYHP.1
348,CCF
349,KB
350,HDC
351,HRH
352,NGGF
353,PUSM
354,SUC
355,DRLC
356,MCH
357,HYCY
358,CBKC
359,QCT
360,MLEL
361,FJC
362,LHST
363,TRCT
364,HYHP
365,FSL
366,GRNP
367,SCRW
368,ASC
369,LT
370,LSK
371,GRA
372,EVTI
373,HCPE
374,RBE
375,QUE
376,CFG
377,LHC
378,SSE
379,TRBC
380,SCIR
381,AD.1
382,SHRS
383,TRSC
384,LFTG
385,SFOF
386,COM
387,IFL
388,WRWL
389,RBB
390,SB
391,TRAP
392,ACEV
393,HAC
394,SMH
395,SWJS
396,CHA
397,CDST
398,CML
399,SMOK
400,SBV
401,SPHE
402,CPW
403,VEXV
404,PGK
405,WWB
406,BUN
407,CPTD
408,WDPC
409,MCFA
410,PAH
411,R2W
412,RTRY
413,BRDR
414,OVA
415,SSVC
416,WSTE
417,SSB.1
418,GA
419,WL
420,FCR
421,EXFT
422,FTNK
423,LCT
424,FGSH
425,OVEN
426,PTB
427,LMWR
428,SWRA
429,PLNR
430,SPDR
431,OZBW
432,CMPR.1.1.1
433,DRIL
434,PNTR
435,SFLE
436,SL
437,TQA
438,VAN
439,GAA
440,TURF
441,GRDR
442,DAJ
443,CMWR
444,GFNG
445,SAWH
446,FTHR
447,QUE.1
448,HTP
449,THEO
450,LEDG
451,SKI
452,CSET
453,NOLT
454,TRCD
455,SMCO
456,COW
457,GTR
458,CUU
459,HYTK
460,SMPB
461,SFLP
462,RSLK
463,MIN
464,WTRB
465,LPL
466,WLDR
467,P&C
468,JACK
469,STGP
470,CVY
471,CNR
472,WHPR
473,COOL
474,JVAC
475,TRFB
476,AORD
477,RVBT
478,TTW
479,NGUN
480,WHE
481,PHDT
482,TBK
483,MLBK
484,BRSC
485,SSAD
486,RAS
487,GDK
488,PIPE
489,TQC
490,BLWE
491,OSR
492,HKSW
493,LNC
494,SCRM
495,HYFS
496,SCAT
497,BCNS
498,RSL
499,SAWC
500,MLCH
501,CMPR.1
502,GUN
503,TIR
504,LBF
505,BRP
506,RSDD
507,HCP
508,ECW
509,SWFT
